timestamp,rx_total,tx_total,rx_kbps,tx_kbps
1765120474,273797147,3164797,0.0,0.0
1765120475,273860945,3183005,62.303,17.781
1765120476,273919380,3184565,57.065,1.523
1765120477,273962757,3192873,42.36,8.113
1765120478,274018668,3199902,54.601,6.864
1765120479,274022772,3201918,4.008,1.969
1765120480,274082682,3211260,58.506,9.123
1765120481,274082892,3211570,0.205,0.303
1765120482,274147695,3222648,63.284,10.818
1765120483,274150856,3224560,3.087,1.867
1765120484,274211171,3233890,58.901,9.111
1765120485,274213224,3235412,2.005,1.486
1765120486,274263657,3243422,49.251,7.822
1765120487,274277901,3246200,13.91,2.713
1765120488,274316348,3253032,37.546,6.672
1765120489,274339840,3256312,22.941,3.203
1765120490,274371312,3264093,30.734,7.599
1765120491,274404280,3267612,32.195,3.437
1765120492,274409986,3270898,5.572,3.209
1765120493,274468998,3278946,57.629,7.859
1765120494,274487705,3283346,18.269,4.297
